SKU,UBICACIÓN,PASILLO,DESCRIPTION,PROVEEDOR,UXB,PLANCHA,ALTO POR PALLET,ZONA,SYS_CODE,ITEM_CLASS,LON,ANC,ALT,PESO,L_PASILLO,L_BAHIA,L_NIVEL,L_POSICION,L_PASILLO_NUM,L_BAHIA_NUM,L_NIVEL_NUM,COORD_X,COORD_Y,COORD_Z
206455131,17690102,17,VIVANT AGUA NATURAL SPORTCAP 1200ML,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,12,11,5,ESPECIAL,LTC,PERECEDEROS BULK,34.0,26.0,32.0,14.4,17,69,1,2,17,69,1,67.2,42.0,1.5
206555052,17170111,17,SIKURA LINIMENTO FRASCO 120GR,LETERAGO DEL ECUADOR S.A - GENERAL,12,30,5,ESPECIAL,LTC,PERECEDEROS BULK,21.0,17.0,19.0,1.9,17,17,1,11,17,17,1,67.2,10.799999999999999,1.5
189255137,17070101,17,BISCOLATA GALLETA MOOD 40GR,INDUSTRIAL DANEC S.A. - GENERAL,48,15,4,ESPECIAL,LTC,PERECEDEROS BULK,33.0,24.0,28.0,3.0,17,7,1,1,17,7,1,67.2,4.8,1.5
192554947,17100107,17,SELLO AZUL BICARBONATO CASERO MULTIUSO 300 GR.,SALAZAR ARIAS RUBEN ALFREDO - GENERAL,18,21,8,ESPECIAL,LTC,PERECEDEROS BULK,36.0,18.0,24.0,6.0,17,10,1,7,17,10,1,68.8,6.0,1.5
188905003,17540103,17,REPOSTERO CON TAPA ROSCA LILA LAVANDA VIOLESTA PICA 2LTR REF:9000008522,PICA PLASTICOS INDUSTRIAS - GENERAL,48,6,2,HOGAR,LTC,NO PERECEDEROS BULK,36.05973597359736,27.185768469656992,21.14231530343008,1.0,17,54,1,3,17,54,1,68.8,32.4,1.5
193605208,17690104,17,ESCURRIDOR OLIVE VERDE PICA REF:9000010149,PICA PLASTICOS INDUSTRIAS - GENERAL,48,4,3,HOGAR,LTC,NO PERECEDEROS BULK,36.05973597359736,27.185768469656992,21.14231530343008,1.0,17,69,1,4,17,69,1,67.2,42.0,1.5
188905046,17630103,17,REPOSTERO LILA LAVANDA VIOLETA PICA 5.5LTR REF:9000008519,PICA PLASTICOS INDUSTRIAS - GENERAL,36,6,2,HOGAR,LTC,NO PERECEDEROS BULK,36.05973597359736,27.185768469656992,21.14231530343008,1.0,17,63,1,3,17,63,1,67.2,38.4,1.5
198804901,17190112,17,DR.DRY BALSAMO LABIAL HUMECTANTE 4.8 GR,CORPORACION APIX S.A. - GENERAL,12,42,3,ESPECIAL,LTC,PERECEDEROS BULK,15.0,11.0,15.0,0.33,17,19,1,12,17,19,1,67.2,12.0,1.5
197455446,17040102,17,FINI CHICLE DE SANDIA 80GR,FINI-GOLOSINAS ECUADOR S.A.S. - GENERAL,12,28,14,ESPECIAL,LTC,PERECEDEROS BULK,24.0,18.0,11.0,1.1,17,4,1,2,17,4,1,68.8,2.4,1.5
197455454,17080106,17,FINI CHICLE DE ENSALADA DE FRUTAS SABORES SURTIDOS 80GR,FINI-GOLOSINAS ECUADOR S.A.S. - GENERAL,12,28,14,ESPECIAL,LTC,PERECEDEROS BULK,24.0,18.0,11.0,1.1,17,8,1,6,17,8,1,68.8,4.8,1.5
198804927,17140103,17,DR.DRY BALSAMO LABIAL SABOR CEREZA 4.8 GR,CORPORACION APIX S.A. - GENERAL,12,42,3,ESPECIAL,LTC,PERECEDEROS BULK,15.0,11.0,15.0,0.33,17,14,1,3,17,14,1,68.8,8.4,1.5
190155109,17600104,17,TAZON PASTELLO CELESTE SOLIDO CASA PICA 2.5LTR REF:9000006984,PICA PLASTICOS INDUSTRIAS - GENERAL,84,3,3,HOGAR,LTC,NO PERECEDEROS BULK,42.0,62.0,35.0,9.9,17,60,1,4,17,60,1,68.8,36.0,1.5
210005184,17440104,17,VIÑA MAIPO VINO TINTO CARMENERE SAUVIGNON 750ML,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,12,15,4,VARIOS,LTC,NO PERECEDEROS BULK,31.0,24.0,30.0,13.6,17,44,1,4,17,44,1,68.8,26.4,1.5
210005176,17440103,17,TRAPICHE VINEYARDS TORRONTES VINO BLANCO 750ML,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,6,30,3,VARIOS,LTC,NO PERECEDEROS BULK,24.0,16.0,31.0,6.8,17,44,1,3,17,44,1,68.8,26.4,1.5
211304952,17210106,17,MILKA CHOCOLATE NUTS & RAISINS 90 G,MONDELEZ ECUADOR C. LTDA. - GENERAL 1,23,24,10,ESPECIAL,LTC,PERECEDEROS BULK,23.0,20.0,8.0,2.3,17,21,1,6,17,21,1,67.2,13.2,1.5
208054921,17240109,17,SORINI BOMBONES RELLENOS BROWNIES 105GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,30,10,5,ESPECIAL,LTC,PERECEDEROS BULK,39.0,30.0,19.0,3.8,17,24,1,9,17,24,1,68.8,14.399999999999999,1.5
208054956,17130104,17,LIKING CARAMELOS RELLENOS DE MIEL 175GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,30,8,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,34.0,6.5,17,13,1,4,17,13,1,67.2,8.4,1.5
208104976,17260104,17,LIKING CARAMELOS SIN AZUCAR LIMON HIERBAS 40GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,20,15,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,16.0,20.0,1.42,17,26,1,4,17,26,1,68.8,15.6,1.5
208104941,17050105,17,WITORS BOMBONES RELLENOS CEREAL 95GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,24,10,5,ESPECIAL,LTC,PERECEDEROS BULK,39.0,29.0,20.0,2.7,17,5,1,5,17,5,1,67.2,3.5999999999999996,1.5
211304961,17120109,17,MILKA CHOCOLATE AVELLANAS TROCEADAS 90 G,MONDELEZ ECUADOR C. LTDA. - GENERAL 1,24,24,10,ESPECIAL,LTC,PERECEDEROS BULK,23.0,20.0,8.0,2.3,17,12,1,9,17,12,1,68.8,7.199999999999999,1.5
208054930,17050104,17,LIKING CARAMELOS TOFFEES YOGURT Y FRUTOS ROJOS 175GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,30,8,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,34.0,6.5,17,5,1,4,17,5,1,67.2,3.5999999999999996,1.5
208355003,17210103,17,PARIS HILTON FRAGANCE CAN CAN PERFUME SPRAY 236 ML.,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,30,5,ESPECIAL,LTC,NO PERECEDEROS BULK,18.0,13.0,21.0,1.6,17,21,1,3,17,21,1,67.2,13.2,1.5
209954964,17440102,17,VEUVE DU VERNAY VINO ESPUMANTE SECO 750ML,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,6,30,3,VARIOS,LTC,NO PERECEDEROS BULK,29.0,30.0,32.0,9.7,17,44,1,2,17,44,1,68.8,26.4,1.5
208354991,17240107,17,PARIS HILTON FRAGANCE ROSE RUSH PERFUME SPRAY 236 ML.,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,30,5,ESPECIAL,LTC,NO PERECEDEROS BULK,18.0,13.0,21.0,1.6,17,24,1,7,17,24,1,68.8,14.399999999999999,1.5
209554952,17420103,17,CERO COMA VINO TINTO SIN ALCOHOL 750ML,PROVELIQ S.A.S. - GENERAL,6,20,4,VARIOS,LTC,PERECEDEROS BULK,23.0,15.0,31.0,4.5,17,42,1,3,17,42,1,68.8,25.2,1.5
209554961,17410104,17,WHITLEY NEILL GIN SIN ALCOHOL 700ML,PROVELIQ S.A.S. - GENERAL,6,15,5,VARIOS,LTC,PERECEDEROS BULK,26.0,18.0,25.0,7.6,17,41,1,4,17,41,1,67.2,25.2,1.5
208054913,17010104,17,SORINI BOMBONES RELLENOS CREMA AVELLANA 105GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,30,9,5,ESPECIAL,LTC,PERECEDEROS BULK,39.0,29.0,20.0,3.7,17,1,1,4,17,1,1,67.2,1.2,1.5
208104984,17220105,17,LIKING CARAMELOS SIN AZUCAR MENTA FRESCA 50GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,20,15,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,16.0,20.0,1.42,17,22,1,5,17,22,1,68.8,13.2,1.5
208955017,17170105,17,MAX  PROTECTOR SOLAR KIDS FPS 60 150ML,MARCORPHARMA S.A. - GENERAL,6,42,5,ESPECIAL,LTC,PERECEDEROS BULK,17.0,13.0,18.0,1.16,17,17,1,5,17,17,1,67.2,10.799999999999999,1.5
208104950,17180103,17,WITORS BOMBONES RELLENOS CREMA 95GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,24,10,5,ESPECIAL,LTC,PERECEDEROS BULK,39.0,29.0,20.0,2.7,17,18,1,3,17,18,1,68.8,10.799999999999999,1.5
209954905,17380103,17,FAUSTINO VII VINO TINTO TEMPRANILLO 750ML,ROMANLIQUORS CIA.LTDA. - GENERAL,6,6,6,VARIOS,LTC,NO PERECEDEROS BULK,25.0,17.0,30.0,7.0,17,38,1,3,17,38,1,68.8,22.8,1.5
209954921,17380104,17,MARQUES DE CACERES CRIANZA VINO TINTO 750 ML,DIBEAL CIA. LTDA. - GENERAL,6,14,4,VARIOS,LTC,PERECEDEROS BULK,38.0,21.0,31.0,8.1,17,38,1,4,17,38,1,68.8,22.8,1.5
208105004,17200104,17,ORELIETE GALLETAS RELLENAS FRUTOS ROJOS 200GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,15,10,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,20.0,3.4,17,20,1,4,17,20,1,68.8,12.0,1.5
208354895,17060104,17,JERGENS PACK BUTTER SEDUCE & RENUEVA UN,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,5,5,ESPECIAL,LTC,NO PERECEDEROS BULK,25.0,17.0,25.0,2.6,17,6,1,4,17,6,1,68.8,3.5999999999999996,1.5
208955287,17090101,17,AL-KIMIYA PERFUME EDT SHAGHAF FOR WOMEN 100 ML,LABORATORIOS BEAUTIK S.A. - CROSS DOCK,12,16,7,ESPECIAL,PTS4,NO PERECEDEROS BULK,27.0,21.0,16.0,5.6,17,9,1,1,17,9,1,67.2,6.0,1.5
209004897,17120106,17,AL-KIMIYA PERFUME EDT AMIRAH FOR WOMEN 100 ML,LABORATORIOS BEAUTIK S.A. - CROSS DOCK,12,16,7,ESPECIAL,PTS4,NO PERECEDEROS BULK,27.0,21.0,16.0,5.6,17,12,1,6,17,12,1,68.8,7.199999999999999,1.5
207754900,17400104,17,BOTRAN RON AÑEJO SISTEMA 8 SOLERA 750ML,COLEMUN S.A. - GENERAL,12,10,3,VARIOS,LTC,NO PERECEDEROS BULK,38.0,29.0,28.0,16.2,17,40,1,4,17,40,1,68.8,24.0,1.5
209504891,17410103,17,PERONI CERVEZA BOTELLA SIXPACK 330ML,PROALCO CIA. LTDA. - LOS ANDES Y SAN MIGUE,4,11,5,VARIOS,LTC,PERECEDEROS BULK,37.0,26.0,24.0,13.0,17,41,1,3,17,41,1,67.2,25.2,1.5
207754926,17450101,17,JP CHENET VINO TINTO CHARDONAY 750ML,COLEMUN S.A. - GENERAL,6,20,5,VARIOS,LTC,PERECEDEROS BULK,36.05973597359736,27.185768469656992,21.14231530343008,1.0,17,45,1,1,17,45,1,67.2,27.599999999999998,1.5
208105039,17200106,17,VINCCI LUXURY BARQUILLOS VAINILLA LATA 100GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,24,9,5,ESPECIAL,LTC,PERECEDEROS BULK,42.0,29.0,18.0,4.3,17,20,1,6,17,20,1,68.8,12.0,1.5
207504986,17050103,17,SORINI DUBAI BOMBONES RELLENOS 200GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,14,8,5,ESPECIAL,LTC,PERECEDEROS BULK,39.0,30.0,19.0,3.2,17,5,1,3,17,5,1,67.2,3.5999999999999996,1.5
208105012,17010102,17,ORELIETE GALLETAS CON CREMA DE CACAO 200GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,15,10,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,20.0,3.6,17,1,1,2,17,1,1,67.2,1.2,1.5
209854963,17090106,17,CAVENDISH CARAMELOS FRUTOS CITRICOS LATA 200GR,ANTURIOS CIA. LTDA. - GENERAL,9,22,5,ESPECIAL,LTC,PERECEDEROS BULK,38.0,11.0,10.0,2.2,17,9,1,6,17,9,1,67.2,6.0,1.5
207754918,17450102,17,JP CHENET VINO TINTO MERLOT 750ML,COLEMUN S.A. - GENERAL,6,20,5,VARIOS,LTC,PERECEDEROS BULK,36.05973597359736,27.185768469656992,21.14231530343008,1.0,17,45,1,2,17,45,1,67.2,27.599999999999998,1.5
208954911,17060101,17,MR BEAST FEASTABLES CHOCOLATE CON LECHE 35G,UNIVERSAL SWEET INDUSTRIES S.A. - GENERAL,72,36,7,ESPECIAL,LTC,PERECEDEROS BULK,21.0,14.0,23.0,2.9,17,6,1,1,17,6,1,68.8,3.5999999999999996,1.5
208355011,17190105,17,PARIS HILTON FRAGANCE HEIRESS PERFUME SPRAY 236 ML.,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,30,5,ESPECIAL,LTC,NO PERECEDEROS BULK,18.0,13.0,21.0,1.6,17,19,1,5,17,19,1,67.2,12.0,1.5
208954920,17080105,17,MR BEAST FEASTABLES CHOCOLATE CON LECHE Y ARROZ CROCANTE 35G,UNIVERSAL SWEET INDUSTRIES S.A. - GENERAL,72,36,7,ESPECIAL,LTC,PERECEDEROS BULK,21.0,14.0,23.0,2.9,17,8,1,5,17,8,1,68.8,4.8,1.5
208054948,17010103,17,LIKING CARAMELOS TOFFEE SURTIDOS 175GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,30,8,5,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,34.0,6.5,17,1,1,3,17,1,1,67.2,1.2,1.5
209554979,17420102,17,MEETING CREMA SABOR A CAPUCHINO 750ML,PROVELIQ S.A.S. - GENERAL,12,10,6,VARIOS,LTC,PERECEDEROS BULK,38.0,29.0,27.0,15.6,17,42,1,2,17,42,1,68.8,25.2,1.5
209954913,17380102,17,PUENTE DE PIEDRA VINO TINTO 750ML,ROMANLIQUORS CIA.LTDA. - GENERAL,6,20,5,VARIOS,LTC,NO PERECEDEROS BULK,24.0,16.0,31.0,7.1,17,38,1,2,17,38,1,68.8,22.8,1.5
208955261,17020109,17,AL-KIMIYA PERFUME EDT NIZA FOR MEN 100 ML,LABORATORIOS BEAUTIK S.A. - CROSS DOCK,12,16,7,ESPECIAL,LTC,NO PERECEDEROS BULK,27.0,21.0,16.0,5.6,17,2,1,9,17,2,1,68.8,1.2,1.5
208104925,17150101,17,SORINI CHOCOLATE CON CEREZA 200GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,14,8,6,ESPECIAL,LTC,PERECEDEROS BULK,40.0,30.0,19.0,3.2,17,15,1,1,17,15,1,67.2,9.6,1.5
208105021,17150105,17,VINCCI LUXURY BARQUILLOS LATA 100GR,JACOME Y ORTIZ DE COMERCIO CIA. LTDA. - GENERAL,24,9,5,ESPECIAL,LTC,PERECEDEROS BULK,42.0,29.0,18.0,4.3,17,15,1,5,17,15,1,67.2,9.6,1.5
209004900,17070105,17,UNICORN DREAMS SHINNY FRAGANCE BODY & HAIR MIST 230ML,LABORATORIOS BEAUTIK S.A. - CROSS DOCK,12,20,4,ESPECIAL,PTS4,NO PERECEDEROS BULK,21.0,18.0,23.0,3.1,17,7,1,5,17,7,1,67.2,4.8,1.5
208355020,17140106,17,PARIS HILTON FRAGANCE CAN CAN BURLESQUE PERFUME SPRAY 236 ML.,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,5,5,ESPECIAL,LTC,NO PERECEDEROS BULK,18.0,13.0,21.0,1.6,17,14,1,6,17,14,1,68.8,8.4,1.5
208354908,17080107,17,BODY FANTASIES PACK LOVELY SCENTS BODY SPRAYS UN,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,20,5,ESPECIAL,LTC,NO PERECEDEROS BULK,25.0,21.0,18.0,1.5,17,8,1,7,17,8,1,68.8,4.8,1.5
208304898,17100108,17,JERGENS PACK BUTTER ENERGIZA & CALMA UN,LAS FRAGANCIAS CIA. LTDA. - MASIVOS,6,5,5,ESPECIAL,LTC,NO PERECEDEROS BULK,25.0,17.0,25.0,2.6,17,10,1,8,17,10,1,68.8,6.0,1.5
100757,18170105,18,ZHUMIR LICOR SEMI-SECO SABOR DURAZNO 700 ML.,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,12,15,4,VARIOS,LTC,NO PERECEDEROS BULK,30.0,23.0,30.0,13.89,18,17,1,5,18,17,1,71.2,10.799999999999999,1.5
100920,18160102,18,ANTHONY VINO SABOR FRAMBUESA RASPBERRY 750 ML.,COLEMUN S.A. - GENERAL,12,11,3,VARIOS,LTC,PERECEDEROS BULK,37.0,28.0,29.0,16.3,18,16,1,2,18,16,1,72.8,9.6,1.5
101524,18640102,18,CIRCUS VINO TINTO MALBEC 750 ML,DIBEAL CIA. LTDA. - GENERAL,6,14,4,VARIOS,LTC,PERECEDEROS BULK,38.0,21.0,31.0,8.1,18,64,1,2,18,64,1,72.8,38.4,1.5
